"totalQtyOwned","name","printNumber","finish","variant","expansion","game","condition","language","price","riotId"
"8","Scrapheap","182","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.29",""
"1","Obelisk of Power","284","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.53",""
"1","Cannon Barrage","127","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.33",""
"1","Yasuo - Unforgiven","259","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.26",""
"1","Primal Strength","154","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.59",""
"1","Recruit (NX)","272","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.11",""
"6","Hextech Ray","009","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.19",""
"2","Trifarian Gloryseeker","217","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.13",""
"1","Defy","045","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","2.14",""
"1","Jeweled Colossus","086","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.07",""
"1","Cleave","004","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.26",""
"1","Twisted Fate - Gambler","200","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.28",""
"2","Sai Scout","174","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.05",""
"1","Windswept Hillock","297","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.22",""
"1","Fading Memories","180","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.18",""
"1","Imperial Decree","221","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","3.16",""
"1","Zhonya's Hourglass","077","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","14.87",""
"1","Bilgewater Bully","125","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.06",""
"1","Shipyard Skulker","175","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.04",""
"3","Zaun Warrens","298","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.20",""
"1","Dangerous Duo","016","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.09",""
"1","Energy Conduit","098","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.19",""
"1","Kai'Sa - Evolutionary","112","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.39",""
"1","Karma - Channeler","235","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.34",""
"1","Sprite Call","094","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.09",""
"1","Find Your Center","047","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.18",""
"4","Blazing Scorcher","001","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.05",""
"1","Pit Crew","091","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.13",""
"1","Pit Rookie","136","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.15",""
"4","Gust","169","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.17",""
"1","Vanguard Captain","218","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.18",""
"2","Void Gate","296","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.24",""
"2","Blastcone Fae","097","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.24",""
"2","Acceptable Losses","179","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.24",""
"1","Stupefy","095","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.80",""
"4","Vi - Destructive","036","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","1.21",""
"3","Mountain Drake","142","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.15",""
"3","Carnivorous Snapvine","149","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.62",""
"3","Kadregrin the Infernal","038","Foil","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","10.16",""
"3","Herald of Scales","140","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.21",""
"6","Traveling Merchant","185","Standard","","Origins - Main Set","Riftbound: League of Legends TCG","Near Mint","en","0.18",""
